Start,Finish,Duration,Age,Dialogue/Interaction_unit,Number,CDS,Utterance_type,Participant,Language,Initiation,Response_yes,Transcription,TCH_Language,
22938.96998,22941.86667,2.89669,12,302,6,1,Sing,S1,Rus,0,1,,,298.6.CDS.Sing.S1.Rus.RY
22944.33959,22947.28272,2.943129,12,302,7,0,Voc,TCH,TCH,0,1,,,298.7.CH.Voc.RY
22948.32762,22948.83846,0.510839,12,302,8,1,Sing,S1,Rus,0,1,,,298.8.CDS.Sing.S1.Rus.RY
22948.83846,22951.18948,2.35102,12,302,9,0,Voc,TCH,TCH,0,1,,,298.9.CH.Voc.RY
22951.18948,22952.46077,1.271293,12,303,1,1,Att,S1,Rus,1,1,,,299.1.CDS.Att.S1.Rus.Init
22952.54785,22955.81025,3.262403,12,303,2,0,Voc,TCH,TCH,0,1,,,299.2.CH.Voc.RY
22955.82186,22956.66939,0.847529,12,303,3,1,Interr,S1,Rus,0,1,,,299.3.CDS.Interr.S1.Rus.RY
22967.9659,22969.97442,2.008526,12,303,4,0,Voc,TCH,TCH,0,1,,,299.4.CH.Voc.RY
22970.24145,22970.65941,0.417959,12,303,5,1,Excl,S1,Rus,0,1,,,299.5.CDS.Excl.S1.Rus.RY
22976.4702,22977.89823,1.428027,12,303,6,0,Voc,TCH,TCH,0,1,,,299.6.CH.Voc.RY
22979.33206,22979.73841,0.40635,12,303,7,1,Excl,S1,Rus,0,0,,,299.7.CDS.Excl.S1.Rus.RN
22979.74422,22980.95746,1.213242,12,304,1,1,Decl,S1,Rus,1,1,,,300.1.CDS.Decl.S1.Rus.Init
22981.34059,22981.57859,0.238004,12,304,2,0,Voc,TCH,TCH,0,1,,,300.2.CH.Voc.RY
22981.57859,22982.87891,1.300318,12,304,3,1,Sing,S1,Rus,0,1,,,300.3.CDS.Sing.S1.Rus.RY
23014.71927,23016.12408,1.404808,12,304,4,0,Voc,TCH,TCH,0,1,,,300.4.CH.Voc.RY
23016.40272,23017.05869,0.655964,12,304,5,1,Sing,S1,Rus,0,0,,,300.5.CDS.Sing.S1.Rus.RN
23017.09352,23020.7971,3.703582,12,305,1,1,Imper,S1,Rus,1,1,,,301.1.CDS.Imper.S1.Rus.Init
23021.65624,23022.33542,0.679184,12,305,2,0,Voc,TCH,TCH,0,1,,,301.2.CH.Voc.RY
23022.33542,23023.76925,1.433832,12,305,3,1,Imper,S1,Rus,0,0,,,301.3.CDS.Imper.S1.Rus.RN
23253.81515,23257.02531,3.210159,12,306,1,0,Voc,TCH,TCH,1,1,,,302.1.CH.Voc.Init
23257.80318,23258.80163,0.998458,12,306,2,1,Att,S1,Rus,0,1,,,302.2.CDS.Att.S1.Rus.RY
23258.83646,23263.11474,4.278276,12,306,3,0,Voc,TCH,TCH,0,1,,,302.3.CH.Voc.RY
23431.87157,23432.23728,0.365714,12,306,4,1,Decl,S1,Rus,0,1,,,302.4.CDS.Decl.S1.Rus.RY
23433.32862,23434.32708,0.998458,12,306,5,0,Voc,TCH,TCH,0,1,,,302.5.CH.Voc.RY
23434.32708,23434.76245,0.435374,12,306,6,1,Decl,S1,Rus,0,1,,,302.6.CDS.Decl.S1.Rus.RY
23435.20943,23436.20789,0.998458,12,306,7,0,Voc,TCH,TCH,0,1,,,302.7.CH.Voc.RY
23442.1522,23442.66884,0.516644,12,306,8,1,Decl,S1,Rus,0,1,,,302.8.CDS.Decl.S1.Rus.RY
23442.91846,23445.12435,2.205896,12,306,9,0,Voc,TCH,TCH,0,1,,,302.9.CH.Voc.RY
23446.6917,23447.55084,0.859138,12,306,10,1,Imper,S1,Rus,0,1,,,302.10.CDS.Imper.S1.Rus.RY
23447.7424,23449.43166,1.689251,12,306,11,0,Voc,TCH,TCH,0,1,,,302.11.CH.Voc.RY
23452.21225,23453.321,1.108753,12,306,12,1,Imper,S1,Rus,0,1,,,302.12.CDS.Imper.S1.Rus.RY
